file_date,distinct_cases,weekday
2017-01-02,0,Monday
2017-01-12,0,Thursday
2017-01-16,0,Monday
2017-01-26,0,Thursday
2017-01-30,0,Monday
2017-02-01,0,Wednesday
2017-02-02,0,Thursday
2017-02-08,0,Wednesday
2017-02-15,0,Wednesday
2017-02-22,0,Wednesday
2017-03-08,0,Wednesday
2017-03-27,0,Monday
2017-04-03,0,Monday
2017-04-14,0,Friday
2017-04-27,0,Thursday
2017-05-02,0,Tuesday
2017-05-09,0,Tuesday
2017-05-24,0,Wednesday
2017-05-29,0,Monday
2017-06-14,0,Wednesday
2017-06-21,0,Wednesday
2017-06-22,0,Thursday
2017-07-04,0,Tuesday
2017-07-11,0,Tuesday
2017-08-09,0,Wednesday
2017-08-10,0,Thursday
2017-08-18,0,Friday
2017-08-24,0,Thursday
2017-08-28,0,Monday
2017-08-29,0,Tuesday
2017-08-30,0,Wednesday
2017-08-31,0,Thursday
2017-09-01,0,Friday
2017-09-04,0,Monday
2017-09-05,0,Tuesday
2017-09-12,0,Tuesday
2017-10-05,0,Thursday
2017-10-12,0,Thursday
2017-10-18,0,Wednesday
2017-10-25,0,Wednesday
2017-11-08,0,Wednesday
2017-11-09,0,Thursday
2017-11-15,0,Wednesday
2017-11-17,0,Friday
2017-11-22,0,Wednesday
2017-11-23,0,Thursday
2017-11-24,0,Friday
2017-12-12,0,Tuesday
2017-12-25,0,Monday
2017-12-26,0,Tuesday
2018-01-01,0,Monday
2018-01-15,0,Monday
2018-01-17,0,Wednesday
2018-02-08,0,Thursday
2018-02-14,0,Wednesday
2018-02-28,0,Wednesday
2018-03-14,0,Wednesday
2018-03-20,0,Tuesday
2018-03-22,0,Thursday
2018-03-30,0,Friday
2018-04-13,0,Friday
2018-05-28,0,Monday
2018-07-03,0,Tuesday
2018-07-04,0,Wednesday
2018-07-06,0,Friday
2018-07-13,0,Friday
2018-07-26,0,Thursday
2018-08-02,0,Thursday
2018-09-03,0,Monday
2018-11-09,0,Friday
2018-11-15,0,Thursday
2018-11-22,0,Thursday
2018-11-23,0,Friday
2018-12-03,0,Monday
2018-12-11,0,Tuesday
2018-12-12,0,Wednesday
2018-12-20,0,Thursday
2018-12-24,0,Monday
2018-12-25,0,Tuesday
2019-01-01,0,Tuesday
2019-01-21,0,Monday
2019-02-13,0,Wednesday
2019-03-01,0,Friday
2019-03-06,0,Wednesday
2019-04-19,0,Friday
2019-05-27,0,Monday
2019-06-05,0,Wednesday
2019-07-01,0,Monday
2019-07-04,0,Thursday
2019-08-12,0,Monday
2019-08-14,0,Wednesday
2019-09-02,0,Monday
2019-09-25,0,Wednesday
2019-11-28,0,Thursday
2019-11-29,0,Friday
2019-12-05,0,Thursday
2019-12-24,0,Tuesday
2019-12-25,0,Wednesday
2020-01-01,0,Wednesday
2020-01-20,0,Monday
2020-02-19,0,Wednesday
2020-03-13,0,Friday
2020-04-10,0,Friday
2020-05-25,0,Monday
2020-06-22,0,Monday
2020-07-03,0,Friday
2020-09-07,0,Monday
2020-11-26,0,Thursday
2020-11-27,0,Friday
2020-12-24,0,Thursday
2020-12-25,0,Friday
2021-01-01,0,Friday
2021-01-07,0,Thursday
2021-01-18,0,Monday
2021-02-15,0,Monday
2021-02-16,0,Tuesday
2021-02-17,0,Wednesday
2021-03-05,0,Friday
2021-03-22,0,Monday
2021-04-02,0,Friday
2021-04-21,0,Wednesday
2021-05-31,0,Monday
2021-07-05,0,Monday
2021-08-25,0,Wednesday
2021-09-06,0,Monday
2021-11-01,0,Monday
2021-11-25,0,Thursday
2021-11-26,0,Friday
2021-12-23,0,Thursday
2021-12-24,0,Friday
2021-12-27,0,Monday
2022-04-15,0,Friday
2022-05-09,0,Monday
2022-05-30,0,Monday
2022-06-20,0,Monday
2022-07-04,0,Monday
2022-09-05,0,Monday
2022-09-29,0,Thursday
2022-11-17,0,Thursday
2022-11-24,0,Thursday
2022-11-25,0,Friday
2022-12-14,0,Wednesday
2022-12-23,0,Friday
2022-12-26,0,Monday
